paikka;naytenumero;principal component 1;principal component 2;aika;naytteen kerayspaiva;analysoitu;Lehden reunan sävy;Alapinnassa karvoja;hKuk;hLeh;tuenta? ;lKP_L1;lKP_L2;lKP_L3;lKP_ka;dKukka;hKukka;ulkoTLvari;ulkoTLR;ulkoTLG;ulkoTLB;ulkoRGB;ulkoTLreuna;sisaTLvari;sisaTLR;sisaTLG;sisaTLB;sisaRGB;sisaTLreuna;Vpalho;Vponsi;sikiAinen;luotti;muoto;tuoksu;Dualex group;Chl;Chl_sd;Flav;Flav_sd;Anth;Anth_sd;NBI;NBI_sd;Chl_ala;Flav_ala;Anth_ala;NBI_ala;Chl_keski;Flav_keski;Anth_keski;NBI_keski;Chl_yla;Flav_yla;Anth_yla;NBI_yla;poikkeavuus
214;LUKE-70;-1,489443888;-0,502616265;2;30.6.2022;4.7.2022;PUNAINEN;0;800;550;hyotyy;16;14;12;14;136;48;4F155A;233;221;207;;VALKOINEN;4F155A;233;221;207;;VALKOINEN / PUNAINEN;-;-;VAALEA;PUNAINEN;KERROTTU;hyva;25;32,704;6,15;1,585;0,24;0,131;0,026;20,657;2,75;25,56533333;1,29;0,140666667;20,01333333;36,56866667;1,668;0,112;21,93333333;35,97933333;1,797333333;0,141333333;20,02333333;-
217;LUKE-4503;2,811784617;-1,373475483;1;28.6.2022;30.6.2022;PUNAINEN;1;930;730;hyotyy;12;18;11;13,7;158;67;2F72C;172;58;143;;VALKOINEN;2F70C;178;79;137;;VALKOINEN;-;-;PUNARUSKEA;PUNAINEN;PALLO LAUTASELLA;makea;26;49,971;6,532;1,553;0,198;0,087;0,027;32,306;4,173;43,36833333;1,39;0,078;31,59;54,18166667;1,569;0,096;34,54;52,36166667;1,776;0,087;30,035;-
218;LUKE-4500;-0,354441607;-0,691105657;2;30.6.2022;6.7.2022;PUNAINEN;0;750;590;hyotyy;11;10;11;10,7;144;47;2F59B;96;12;35;;PUNAINEN;2F67A;159;27;76;;VALKOINEN;-;-;VAALEANVIHREA;PUNAINEN;PALLO LAUTASELLA;tuoksuton;27;39,781;3,369;1,531;0,238;0,113;0,023;26,478;4,075;38,823;1,315;0,098;29,47666667;41,79266667;1,491666667;0,101;28,24666667;38,72666667;1,787;0,139333333;21,71;-
219;LUKE-4497;-1,34945042;-0,957972931;2;30.6.2022;4.7.2022;PUNAINEN;0;980;720;vaatii;13;12;13;12,7;164;67;2F65B;228;150;196;;VALKOINEN;2F65B;228;150;196;;VALKOINEN;KELTAINEN;KELTAINEN;VAALEA;PUNAINEN;KERROTTU;hyva;28;40,307;3,507;1,59;0,175;0,127;0,029;25,535;2,748;39,249;1,405;0,104333333;27,97666667;37,86266667;1,618;0,160666667;23,42666667;43,811;1,747666667;0,114666667;25,20333333;-
220;LUKE-4481;-0,662222135;1,767204998;2;30.6.2022;4.7.2022;PUNAINEN;0;780;550;hyotyy;10;9;10;9,7;148;58;2F68A;197;56;139;;VALKOINEN;2F68A;197;56;139;;VALKOINEN;KELTAINEN;KELTAINEN;VAALEA;VAALEA;KERROTTU;heikko;29;34,843;4,132;1,482;0,155;0,118;0,034;23,776;3,966;35,36366667;1,339333333;0,104666667;26,35333333;35,20933333;1,469333333;0,096333333;24,17333333;33,95766667;1,638333333;0,153;20,80333333;-
221;LUKE-4459;2,811784617;-1,373475483;1;28.6.2022;30.6.2022;PUNAINEN;1;900;680;hyotyy;13;14;13;13,3;155;67;2F72C;172;58;143;;VALKOINEN;2F72C;172;58;143;;VALKOINEN;-;-;PUNARUSKEA;PUNAINEN;KERROTTU / VYÖHYKKEITÄ;makea;30;33,456;5,748;1,776;0,056;0,168;0,083;18,899;3,469;27,30633333;1,755;0,244;14,06;37,70733333;1,745333333;0,134333333;21,62333333;35,35533333;1,822;0,126666667;19,40333333;-
222;LUKE-4415;0,263859582;3,314574558;2;30.6.2022;6.7.2022;PUNAINEN;0;910;780;eitarvitse;14;13;14;13,7;150;41;2F74A;149;0;99;;VALKOINEN;2F74A;149;0;99;;VALKOINEN;KELTAINEN;KELTAINEN;VAALEA;VAALEA;KERROTTU;muovinen;31;34,995;2,631;1,697;0,158;0,159;0,044;20,83;2,71;33,67333333;1,628;0,144;20,84;33,32133333;1,738;0,169666667;19,27;37,98966667;1,701666667;0,164;22,38333333;-
223;LUKE-4405;0,263859582;3,314574558;2;30.6.2022;4.7.2022;PUNAINEN;0;870;680;eitarvitse;13;11;10;11,3;152;42;2F74A;149;0;99;;VALKOINEN;2F74A;149;0;99;;VALKOINEN;KELTAINEN;KELTAINEN;VAALEA;VAALEA;KERROTTU;muovinen;32;28,759;3,951;1,515;0,141;0,155;0,029;18,389;1,158;26,84233333;1,463666667;0,166333333;18,38333333;28,78333333;1,560666667;0,155333333;18,48666667;30,64966667;1,5215;0,144;18,255;-
224;LUKE-4393;2,811784617;-1,373475483;1;28.6.2022;30.6.2022;PUNAINEN;1;990;730;hyotyy;14;17;15;15,3;164;60;2F72C;172;58;143;;VALKOINEN;2F72C;172;58;143;;VALKOINEN;-;-;PUNARUSKEA;PUNAINEN;KERROTTU / VYÖHYKKEITÄ;makea;33;45,067;3,827;1,612;0,15;0,112;0,013;27,857;1,76;41,77466667;1,475333333;0,121;28,33;47,44366667;1,643333333;0,098;28,84666667;45,98233333;1,7685;0,116333333;25,665;-
225;LUKE-4384;-0,508991877;-1,157151893;1;28.6.2022;30.6.2022;RUSKEA;1;850;690;hyotyy;13;10;14;12,3;130;56;2F73D;213;179;229;;VALKOINEN;2F69A;234;183;235;;VALKOINEN;-;-;VAALEANVIHREA;VIHREA;PALLO LAUTASELLA;hyva;34;41,916;3,425;1,575;0,138;0,108;0,031;27,575;4,165;41,21733333;1,576;0,127333333;27,09;38,98433333;1,6025;0,1035;24,895;45,54633333;1,556333333;0,093333333;29,68333333;-
226;LUKE-42;0,000378646;-1,630317262;2;30.6.2022;4.7.2022;RUSKEA;1;800;630;hyotyy;5;8;7;6,7;143;51;2F68B;219;87;174;;VALKOINEN;2F65C;238;167;206;;VALKOINEN;-;-;PUNARUSKEA;PUNAINEN;PALLO LAUTASELLA;heikko;35;33,688;4,024;1,627;0,145;0,13;0,024;20,692;1,695;30,74733333;1,482;0,138333333;20,79;32,19433333;1,663;0,1295;18,815;38,123;1,747;0,121;21,84333333;-
227;LUKE-4047;0,661299567;-0,780422085;1;28.6.2022;30.6.2022;PUNAINEN;1;860;710;hyotyy;10;13;15;12,7;139;48;2F72C;172;58;143;;VALKOINEN;2F70C;178;79;137;;VALKOINEN;-;-;PUNARUSKEA;PUNAINEN;PALLO LAUTASELLA;heikko;36;33,337;6,302;1,594;0,241;0,167;0,08;20,891;1,985;26,41866667;1,306;0,17;20,35666667;33,702;1,676666667;0,206333333;20,13666667;39,89;1,799666667;0,125;22,18;-
228;LUKE-3463;-1,34945042;-0,957972931;2;30.6.2022;4.7.2022;PUNAINEN;0;790;600;vaatii;12;11;10;11;140;47;2F65B;228;150;196;;VALKOINEN;2F65B;228;150;196;;VALKOINEN / PUNAINEN;KELTAINEN;KELTAINEN;VAALEA;PUNAINEN;KERROTTU;heikko;37;39,028;4,709;1,647;0,146;0,107;0,02;23,821;3,133;36,00666667;1,518333333;0,111333333;23,71666667;39,92833333;1,597666667;0,105;25,06333333;41,14966667;1,824;0,104;22,68333333;-
229;LUKE-3454;1,282098348;0,686113562;2;30.6.2022;4.7.2022;PUNAINEN;1;780;540;vaatii;11;12;11;11,3;155;52;2F74A;149;0;99;;VALKOINEN;2F74B;159;26;112;;VALKOINEN;-;-;VAALEANVIHREA;PUNAINEN;PALLO LAUTASELLA;tuoksuton;38;38,95;5,229;1,404;0,161;0,111;0,017;27,745;2,358;32,868;1,217;0,129333333;26,94333333;41,43566667;1,438666667;0,105;28,89666667;42,545;1,557;0,099;27,39666667;-
230;LUKE-3447;-0,352730907;0,841524354;2;30.6.2022;4.7.2022;PUNAINEN;0;-;460;-;-;-;-;-;113;34;2F65B;228;150;196;;VALKOINEN;2F65D;227;181;223;;VALKOINEN;KELTAINEN;KELTAINEN;VAALEANVIHREA;PUNAINEN;KERROTTU;-;39;26,689;4,731;1,771;0,106;0,183;0,026;15,347;2,459;25,082;1,716;0,176333333;15,265;22,75066667;1,750333333;0,211333333;13,10666667;32,23466667;1,828;0,162333333;17,64333333;hyvin pieni VAIN YKSI KUKKA
231;LUKE-288;-1,34945042;-0,957972931;3;4.7.2022;6.7.2022;PUNAINEN;0;910;620;vaatii;11;11;15;12,3;179;58;1F36D;253;208;212;;VALKOINEN;2F62C;235;142;188;;VALKOINEN;KELTAINEN;KELTAINEN;VAALEA;PUNAINEN;KERROTTU;heikko;40;41,754;3,59;1,643;0,145;0,109;0,023;25,549;2,193;38,843;1,5;0,088;26,03;40,884;1,686;0,124333333;24,235;45,53566667;1,756;0,101;25,94;-
232;LUKE-2816;-0,572901444;-1,226381156;1;28.6.2022;30.6.2022;RUSKEA;1;900;630;hyotyy;13;11;12;12;146;49;2F65B;228;150;196;;VALKOINEN;2F65C;238;167;206;;VALKOINEN;-;-;VAALEANVIHREA;PUNAINEN / VIHREA;PALLO LAUTASELLA;hyva;41;39,252;3,756;1,578;0,181;0,111;0,027;24,727;1,671;35,89433333;1,426;0,118666667;25,24666667;39,05933333;1,5945;0,106;23,515;42,80266667;1,719666667;0,109666667;25,01333333;-
233;LUKE-2247;-0,733599582;0,15668368;1;28.6.2022;30.6.2022;RUSKEA;0;820;640;hyotyy;12;12;11;11,7;160;46;2F74A;149;0;99;;VALKOINEN;2F74A;149;0;99;;VALKOINEN;KELTAINEN;KELTAINEN;VAALEANVIHREA;PUNAINEN / VIHREA;KERROTTU;mausteinen;42;35,729;4,008;1,778;0,063;0,144;0,024;20,363;2,57;37,88066667;1,74;0,123666667;21,79333333;33,35733333;1,798;0,1535;18,54333333;35,94833333;1,805;0,1645;20,95;-
234;LUKE-21;-0,843394957;0,122620546;3;4.7.2022;6.7.2022;PUNAINEN;1;620;460;hyotyy;16;-;-;16;146;60;4F155A;233;221;207;;VALKOINEN;4F155A;233;221;207;;VALKOINEN;KELTAINEN;KELTAINEN;VAALEANVIHREA;PUNAINEN;KERROTTU;heikko;43;31,915;2,891;1,453;0,206;0,146;0,015;22,393;2,298;29,11633333;1,1565;0,137333333;24,925;34,31566667;1,479;0,145666667;23,21666667;32,31333333;1,623666667;0,155;19,88;pieni vain yksi kukka
235;LUKE-1903;1,259848411;0,47105276;2;30.6.2022;4.7.2022;PUNAINEN;1;940;590;hyotyy;11;10;12;11;162;66;2F74A;149;0;99;;VALKOINEN;2F74B;159;26;112;;VALKOINEN;-;-;VAALEANVIHREA;PUNAINEN;PALLO LAUTASELLA;muovinen;44;39,454;6,178;1,394;0,19;0,105;0,032;28,596;4,943;34,751;1,191;0,110666667;29,74333333;45,069;1,461;0,108333333;30,89;38,543;1,530333333;0,094666667;25,15333333;-
236;LUKE-135;-2,184369205;-1,149922592;2;30.6.2022;6.7.2022;PUNAINEN;0;890;690;hyotyy;11;13;12;12;173;58;4F155A;233;221;207;;VALKOINEN;4F155A;233;221;207;;VALKOINEN;-;-;VAALEANVIHREA;VAALEA;PALLO LAUTASELLA;voimakas;45;38,731;4,398;1,466;0,198;0,108;0,024;26,586;2,206;34,77833333;1,235666667;0,11;28,24333333;37,78333333;1,502666667;0,123;25,22;43,631;1,658666667;0,092;26,3;-
